store,sale.date,tran.type,tran.number,tran.item.number,sku,category,qty,unit.cost,sale.amount,unit.original.retail,gross.margin,price.category,loyalty.member,customer.id
102,44986,Sale,24490,1,278479,Travel,1,25.62,53,102,0.5166,Coupon,1,C41366
102,44986,Sale,24491,1,278478,Travel,1,25.62,47,102,0.4549,Coupon,1,C41901
102,44986,Sale,24492,1,278122,Jackets,1,18.72,47,77,0.6017,Coupon,0,C99999
102,44986,Sale,24492,2,282955,Sleeping Gear,1,55.16,94,210,0.4132,Markdown,0,C99999
102,44986,Sale,24492,3,278812,Jackets,1,20.62,47,84,0.5613,Coupon,0,C99999
102,44986,Sale,24493,1,278521,Jackets,1,22.28,53,84,0.5796,Coupon,0,C99999
102,44986,Sale,24494,1,246163,Camping Misc,1,8.87,15.98,34,0.4449,Clearance,1,C41375
102,44986,Sale,24494,2,261067,Tops,1,13.28,21.59,50.4,0.3847,Clearance,1,C41375
102,44986,Sale,24494,3,279210,Backpacks,1,24.78,53,95,0.5325,Coupon,1,C41375
102,44987,Sale,24495,1,223616,Backpacks,1,19,11.98,77,-0.586,Clearance,0,C99999
102,44987,Sale,24495,2,261117,Backpacks,1,22.26,29.98,84,0.2575,Clearance,0,C99999
102,44987,Sale,24496,1,278509,Jackets,1,24.62,77,95,0.6803,Coupon,0,C99999
102,44987,Sale,24497,1,278827,Jackets,1,23.54,67,84,0.6487,Coupon,1,C41734
102,44987,Sale,24498,1,279361,Sleeping Gear,1,46.08,118,154,0.6095,Coupon,1,C41985
102,44987,Sale,24498,2,274971,Tops,1,13.3,38.4,50.4,0.6538,Coupon,1,C41985
102,44987,Sale,24499,1,281509,Footwear,1,36.4,99,116,0.6323,Coupon,0,C99999
102,44987,Sale,24500,1,278123,Jackets,1,18.72,55,77,0.6596,Coupon,0,C99999
102,44987,Sale,24501,1,282077,Sleeping Gear,1,35.08,154,154,0.7722,Full Price,0,C99999
102,44988,Sale,24502,1,274972,Tops,1,13.3,39,50.4,0.6591,Coupon,1,C41089
102,44988,Sale,24503,1,281559,Backpacks,1,21.84,74,88,0.7049,Markdown,1,C42254
102,44988,Sale,24504,1,281510,Footwear,1,36.4,87,116,0.5816,Coupon,0,C99999
102,44988,Sale,24505,1,224657,Tops,1,14.48,36,58.8,0.5977,Markdown,0,C99999
102,44988,Sale,24506,1,272910,Sleeping Gear,1,50.84,94,190,0.4591,Coupon,0,C99999
102,44988,Sale,24507,1,278124,Jackets,1,18.72,52,77,0.64,Coupon,1,C42376
102,44988,Sale,24507,2,272920,Swimwear,1,22.66,57,84,0.6025,Coupon,1,C42376
102,44988,Sale,24507,3,279155,Backpacks,1,20.64,57,84,0.6379,Coupon,1,C42376
102,44988,Sale,24507,4,267759,Footwear,1,39.18,86,126,0.5444,Coupon,1,C42376
102,44988,Sale,24508,1,275700,Footwear,1,30.34,101,101,0.6996,Full Price,0,C99999
102,44988,Sale,24509,1,272916,Swimwear,1,22.66,72,84,0.6853,Coupon,0,C99999
102,44988,Sale,24510,1,164537,Tops,1,11.38,12.59,46.2,0.0958,Clearance,1,C41060
102,44988,Sale,24511,1,281510,Footwear,1,36.4,104,116,0.65,Coupon,0,C99999
102,44988,Sale,24512,1,281515,Footwear,1,36.4,104,116,0.65,Coupon,0,C99999
102,44988,Sale,24513,1,276310,Footwear,1,40.72,95,126,0.5714,Coupon,1,C40820
102,44988,Sale,24513,2,238765,Backpacks,1,20.54,12.98,77,-0.5824,Clearance,1,C40820
102,44988,Sale,24514,1,278822,Jackets,1,20.62,59,84,0.6505,Coupon,0,C99999
102,44988,Sale,24514,2,278868,Jackets,1,23.54,59,84,0.601,Coupon,0,C99999
102,44988,Sale,24514,3,278533,Jackets,1,21.68,59,84,0.6325,Coupon,0,C99999
102,44988,Sale,24515,1,278817,Jackets,1,24.14,62,84,0.6106,Coupon,0,C99999
102,44988,Sale,24516,1,237595,Jackets,2,19.4,31.96,77,-0.214,Clearance,1,C41854
102,44989,Sale,24517,1,281510,Footwear,1,36.4,59,116,0.3831,Coupon,1,C41854
102,44989,Sale,24517,2,281559,Backpacks,1,21.84,39,88,0.44,Markdown,1,C41854
102,44989,Sale,24518,1,281512,Footwear,1,36.4,59,116,0.3831,Coupon,1,C41534
102,44989,Sale,24519,1,253667,Swimwear,1,25.9,15.98,95,-0.6208,Clearance,0,C99999
102,44989,Sale,24520,1,282941,Tops,1,14.77,26.4,57,0.4405,Coupon,0,C99999
102,44989,Sale,24521,1,278481,Travel,1,25.62,39,102,0.3431,Coupon,1,C40489
102,44989,Sale,24521,2,261079,Bottoms,1,17.3,16.79,66.5,-0.0309,Clearance,1,C40489
102,44989,Sale,24522,1,275706,Backpacks,1,20.1,44,77,0.5432,Coupon,1,C41576
102,44989,Sale,24523,1,267645,Sleeping Gear,1,49.24,78,190,0.3687,Coupon,0,C99999
102,44989,Sale,24524,1,281558,Backpacks,1,21.84,44,88,0.5036,Markdown,0,C99999
102,44989,Sale,24525,1,276316,Footwear,1,43.33,66,126,0.3435,Coupon,1,C40117
102,44989,Sale,24525,2,282076,Sleeping Gear,1,35.08,88,154,0.6014,Coupon,1,C40117
102,44989,Sale,24526,1,278490,Travel,1,23.84,44,95,0.4582,Coupon,0,C99999
102,44989,Sale,24527,1,275693,Footwear,1,30.34,59,116,0.4858,Markdown,1,C41915
102,44989,Sale,24527,2,279548,Footwear,1,29.46,59,101,0.5007,Coupon,1,C41915
102,44989,Sale,24528,1,275692,Footwear,1,30.34,66,116,0.5403,Markdown,0,C99999
102,44989,Sale,24529,1,278486,Travel,1,25.62,44,102,0.4177,Coupon,0,C99999
102,44989,Sale,24530,1,275695,Footwear,1,30.34,59,116,0.4858,Markdown,0,C99999
102,44989,Sale,24531,1,267576,Travel,1,22.26,35,84,0.364,Coupon,0,C99999
102,44989,Sale,24532,1,278850,Sleeping Gear,1,43.72,88,168,0.5032,Coupon,0,C99999
102,44989,Sale,24533,1,278499,Jackets,1,22.16,39,84,0.4318,Coupon,0,C99999
102,44989,Sale,24534,1,279089,Backpacks,1,21.58,44,88,0.5095,Markdown,0,C99999
102,44989,Sale,24534,2,278467,Travel,1,23.84,44,95,0.4582,Coupon,0,C99999
102,44989,Sale,24535,1,278845,Sleeping Gear,1,47.88,88,190,0.4559,Coupon,1,C41063
102,44989,Sale,24535,2,267768,Footwear,1,43.33,66,147,0.3435,Markdown,1,C41063
102,44989,Sale,24535,3,281560,Backpacks,1,21.84,44,88,0.5036,Markdown,1,C41063
102,44989,Sale,24536,1,279545,Footwear,1,29.46,66,101,0.5536,Coupon,1,C41985
102,44989,Sale,24537,1,267578,Travel,1,22.26,44,84,0.4941,Coupon,1,C41499
102,44989,Sale,24539,1,278828,Jackets,1,23.54,44,84,0.465,Coupon,1,C40341
102,44989,Sale,24540,1,278818,Jackets,1,24.14,44,84,0.4514,Coupon,1,C40876
102,44989,Sale,24541,1,282075,Sleeping Gear,1,35.08,88,154,0.6014,Coupon,1,C40889
102,44989,Sale,24542,1,277760,Backpacks,1,26.8,39,95,0.3128,Coupon,1,C41846
102,44989,Sale,24543,2,281511,Footwear,1,36.4,59,116,0.3831,Coupon,1,C41602
102,44989,Sale,24544,1,278989,Tops,1,13.24,23.4,50.4,0.4344,Coupon,1,C41498
